type,fraction,invMass1,invMass2,invMass,weight
0,0,105.01,4.77,139.13,0.018605
0,0,106.02,9.54,137.16,0.000100
0,0,78.40,74.49,183.42,0.009182
0,0,78.76,56.40,169.87,0.000005
0,0,78.80,9.29,95.03,0.011066
0,0,78.82,76.91,190.90,0.000575
0,0,79.52,62.79,181.14,0.000511
0,0,79.88,35.62,129.64,0.000699
0,0,80.93,32.02,118.34,0.005429
0,0,82.09,26.62,170.23,0.011234
0,0,82.76,10.77,135.24,0.008873
0,0,83.49,78.66,176.40,0.008917
0,0,83.52,80.81,174.44,0.003013
0,0,84.22,26.13,130.07,0.014832
0,0,84.23,72.53,191.24,0.009870
0,0,84.31,81.21,194.75,0.013191
0,0,84.55,8.87,140.18,0.005175
0,0,84.59,38.08,158.86,0.001528
0,0,84.65,40.23,165.08,0.016256
0,0,85.06,84.36,175.89,0.005524
0,0,85.19,83.42,178.49,0.008509
0,0,85.26,26.70,133.58,0.007404
0,0,85.35,13.87,124.75,0.010406
0,0,85.40,19.37,184.54,0.011455
0,0,85.50,81.85,185.26,0.016133
0,0,85.55,46.23,133.96,0.012096
0,0,85.73,65.63,179.25,0.009221
0,0,86.20,4.08,119.03,0.004771
0,0,86.20,84.49,183.40,0.000504
0,0,86.23,78.39,199.04,0.002170
0,0,86.36,14.98,128.17,0.020617
0,0,86.39,13.53,173.30,0.001242
0,0,86.56,13.38,128.63,0.016188
0,0,86.71,14.52,139.65,0.013867
0,0,87.01,87.00,181.25,0.008494
0,0,87.05,14.66,160.96,0.008171
0,0,87.07,80.36,195.40,0.014171
0,0,87.07,96.21,188.84,0.009924
0,0,87.11,84.92,185.69,0.001118
0,0,87.34,21.16,127.81,0.004892
0,0,87.39,7.75,133.86,0.000568
0,0,87.41,72.87,168.16,0.008443
0,0,87.50,26.77,121.81,0.008833
0,0,87.51,85.71,180.28,0.003108
0,0,87.56,11.41,132.48,0.005846
0,0,87.58,16.18,148.36,0.002571
0,0,87.66,22.84,119.40,0.015104
0,0,87.78,19.70,159.28,0.008938
0,0,87.82,6.48,159.38,0.009951
0,0,87.87,84.78,193.32,0.001151
0,0,87.87,87.65,197.72,0.013229
0,0,87.92,74.02,188.91,0.015609
0,0,87.93,5.46,118.21,0.016218
0,0,87.95,76.43,196.42,0.004882
0,0,88.04,69.92,181.52,0.017533
0,0,88.05,15.22,116.80,0.006959
0,0,88.05,87.50,199.57,0.005902
0,0,88.06,79.75,192.27,0.010341
0,0,88.07,83.44,182.03,0.019132
0,0,88.08,83.55,187.88,0.001232
0,0,88.12,16.73,128.96,0.005480
0,0,88.15,20.86,198.98,0.010917
0,0,88.22,26.89,141.53,0.001137
0,0,88.26,41.63,143.61,0.014775
0,0,88.31,9.43,166.33,0.000861
0,0,88.32,85.38,176.84,0.004985
0,0,88.33,9.56,157.99,0.008082
0,0,88.41,83.58,187.01,0.000630
0,0,88.48,86.39,178.07,0.005325
0,0,88.71,72.24,188.00,0.003483
0,0,88.75,72.44,167.11,0.006832
0,0,88.79,13.03,137.66,0.003424
0,0,88.80,52.92,176.86,0.001744
0,0,88.83,22.27,173.82,0.012287
0,0,88.84,78.82,183.84,0.000594
0,0,88.88,59.81,166.20,0.013886
0,0,88.90,93.60,193.15,0.014462
0,0,88.90,95.87,195.40,0.000536
0,0,88.99,30.83,129.81,0.003577
0,0,88.99,84.06,180.26,0.008932
0,0,89.01,86.61,184.45,0.002657
0,0,89.02,40.68,131.65,0.001232
0,0,89.04,28.14,184.86,0.013763
0,0,89.04,95.16,188.02,0.001729
0,0,89.07,10.28,112.87,0.008391
0,0,89.14,9.79,157.98,0.008930
0,0,89.15,89.03,185.68,0.016742
0,0,89.17,88.17,184.58,0.000367
0,0,89.19,32.14,191.64,0.015135
0,0,89.20,74.80,194.90,0.001344
0,0,89.20,9.63,114.28,0.012207
0,0,89.20,99.98,195.33,0.016226
0,0,89.23,9.15,135.27,0.011269
0,0,89.24,88.31,192.26,0.011467
0,0,89.26,32.55,156.15,0.003689
0,0,89.27,89.03,198.48,0.003247
0,0,89.29,93.33,184.24,0.013843
0,0,89.29,95.41,191.07,0.003283
0,0,89.35,81.33,172.11,0.001369
0,0,89.36,86.63,183.61,0.012759
0,0,89.37,84.73,192.19,0.000683
0,0,89.38,34.24,180.11,0.012355
0,0,89.40,65.52,159.00,0.012213
0,0,89.43,37.65,147.88,0.003407
0,0,89.45,32.48,176.87,0.010783
0,0,89.47,85.63,180.56,0.017116
0,0,89.51,24.65,173.52,0.008550
0,0,89.52,53.11,168.17,0.002788
0,0,89.55,86.31,185.52,0.013486
0,0,89.59,6.02,188.05,0.002707
0,0,89.62,93.62,188.81,0.005957
0,0,89.68,4.84,128.14,0.001215
0,0,89.72,79.09,196.69,0.012404
0,0,89.78,81.02,176.51,0.009242
0,0,89.80,63.91,158.48,0.023923
0,0,89.82,89.40,180.09,0.002284
0,0,89.87,88.58,189.16,0.004311
0,0,89.88,95.02,186.77,0.011134
0,0,89.90,52.34,182.87,0.004734
0,0,89.90,94.31,196.55,0.001383
0,0,89.91,89.83,191.01,0.019137
0,0,89.92,8.59,190.69,0.005884
0,0,89.94,62.58,183.71,0.004962
0,0,89.96,11.68,173.31,0.009354
0,0,89.97,88.56,197.72,0.013597
0,0,89.98,6.99,120.95,0.011966
0,0,89.98,86.99,196.68,0.000918
0,0,89.98,87.20,185.58,0.022954
